Zgrada,194,157,62,61,Surgical
Zgrada,186,157,408,61,MedicalCenter
Zgrada,181,141,243,272,Pediatrics
Parking,158,141,62,272,
Parking,148,141,446,272,
Ulica,33,436,612,24,
Ulica,621,33,10,427,
Ulica,32,418,10,24,
Ulica,635,33,10,10,
Ulica,26,61,317,43,
Ulica,38,26,266,109,
Ulica,49,25,349,110,
Ulica,27,88,317,140,
Ulica,571,26,41,228,
Ulica,26,8,317,254,
Ulica,36,18,484,254,
Ulica,18,33,594,317,
Ulica,36,13,484,414,
Ulica,12,36,434,314,
Ulica,36,17,136,255,
Ulica,13,36,220,314,
Ulica,33,14,125,413,
Ulica,21,33,41,317,
Ulaz,10,36,233,314,
Ulaz,46,13,308,259,
Ulaz,10,36,424,314,
Ulaz,36,10,484,218,
Ulaz,10,40,256,100,
Ulaz,10,40,398,100,
Ulaz,36,10,136,218,
Fontana,60,58,299,92,
Krug,27,25,317,110,
